Pages,Language,Price,Price_per_page,Gift
498,German,12.5,0.025100401606425703,No
523,German,9.99,0.01910133843212237,No
249,German,9.99,0.040120481927710845,Yes
316,German,9.95,0.03148734177215189,No
454,English,9.99,0.022004405286343613,No
458,English,8.39,0.01831877729257642,No
472,English,9.0,0.019067796610169493,No
573,English,9.99,0.01743455497382199,No
488,English,7.39,0.01514344262295082,No
318,English,7.09,0.02229559748427673,No
419,English,6.99,0.016682577565632458,No
399,English,7.99,0.020025062656641605,No
368,English,9.0,0.024456521739130436,No
429,English,9.0,0.02097902097902098,No
395,English,9.0,0.02278481012658228,No
334,English,9.0,0.02694610778443114,No
719,English,7.99,0.011112656467315716,No
760,English,8.59,0.011302631578947368,No
690,English,8.5,0.012318840579710146,No
348,English,8.0,0.022988505747126436,Yes
298,English,7.0,0.02348993288590604,Yes
555,English,7.19,0.012954954954954955,No
379,German,8.5,0.022427440633245383,No
383,German,8.5,0.022193211488250653,No
418,German,8.5,0.02033492822966507,No
133,German,8.99,0.06759398496240601,Yes
540,German,10.99,0.020351851851851854,No
600,German,10.99,0.01831666666666667,No
700,German,10.99,0.0157,No
825,German,12.0,0.014545454545454545,No
787,German,12.0,0.015247776365946633,No
790,German,12.0,0.015189873417721518,No
475,German,9.99,0.021031578947368422,No
511,German,9.99,0.01954990215264188,No
470,German,9.99,0.02125531914893617,No
507,German,9.99,0.01970414201183432,No
476,German,9.99,0.020987394957983192,No
478,German,9.99,0.02089958158995816,No
389,English,9.0,0.02313624678663239,No
362,English,9.0,0.024861878453038673,No
442,English,9.0,0.020361990950226245,No
434,English,5.9,0.01359447004608295,No
441,English,5.9,0.013378684807256236,No
459,English,5.9,0.012854030501089325,No
428,English,8.0,0.018691588785046728,No
421,English,8.0,0.019002375296912115,No
344,English,8.0,0.023255813953488372,No
377,English,8.0,0.021220159151193633,No
378,English,8.0,0.021164021164021163,No
477,English,9.0,0.018867924528301886,No
505,English,9.0,0.01782178217821782,No
539,English,5.9,0.010946196660482375,No
536,English,9.99,0.018638059701492536,No
584,English,9.99,0.017106164383561644,No
528,English,9.99,0.018920454545454546,No
390,English,7.39,0.01894871794871795,No
365,English,6.99,0.01915068493150685,No
303,English,7.55,0.024917491749174916,Yes
